Review,Review_Score,Prediction_best_naive_bayes_model,Prediction_best_naive_bayes_model2,Final_Prediction,Difference
We had a great stay at Shereen's place. We love the converted loft style and loved how the condo was decorated. Check in was super easy and Shereen was kind enough to let us check in a couple of hours early. The building is located in a quiet residential area. Bed was comfortable. Would recommend!,"10,0",4,1,10.0,0.0
Very nice and price worthy stay. Very clean. Fanny was a great host!,"10,0",3,1,10.0,0.0
"I was their first guest and I had a great time. Collin and Sandy are very welcoming and happy to help you to get around the city.
The room is more than what you need. The bed is big enough for two persons and you have space in the room to put all your luggage. Even although they say the room is in progress I think it is more than what you need for a few days.
The apartment is very clean and they allow you to use the kitchen to cook.
They both speak English and French,Collin is German and Sandy is really good in Spanish so the language should not be a problem.
The location is great, so overall it is a great place to spend a few days getting around Montreal","9,0",1,1,10.0,-1.0
"Richard is a wonderful host! He took the time to explain the features of the house and recommended good places to eat, to visit, to see.  The house is just perfect!  I felt like home! So comfy, perfectly clean, the backyard is so nice and I fell in love with that cute little street.  Everything is around by walking distance:  convenient store, grocery, drugstore, subway, restaurants, etc.  I recommend that house to everyone and I will come back again!  ","10,0",4,1,10.0,0.0
"What a great spot and location!  Loved the decor and the open concept.  The pool table was a great addition.  The kids enjoyed playing, while the parents took time to relax after taking all the great local activities.  The loft includes all that you need, plus personal touches to make it feel very inviting. Great location on the boarder of downtown Montreal and Old Montreal. I loved walking out the door onto the street and being in the heart of the town.  The Pub Victoria is a great little local pub that is hopping which is next door.  It has a good, little outdoor patio for a pint.  Location is perfect (although we did not use the bikes their is a convenient bike rental location (bixi) right out front).  The hosts we very quick to respond to inquiries.  They offered all kinds of support including a professionally prepared introduction booklet (outlining house rules and need to know info) and a separate local activities/dinner suggestion booklet. They are very professional hosts who help to reassure you (as this was one of our first AirBnB experiences). They preempt your needs and provide all the required communications upfront opposed to us asking them for info, They already know what info most travellers are looking for. The only thing to note, is upon arrival, the common area which include hallway and stairs are very dated and not inline with the quality of the loft (yet functional) being a very “Old Montreal” building. But once you open the door to the loft, you are relieved). Great experience.","9,0",4,1,10.0,-1.0
Super logement très bien situé,"10,0",0,0,7.0,3.0
Appartement très propre et conforme aux photos. Stationnement facile à proximité. Je le recommande sans hésiter.,"9,0",0,0,7.0,2.0
"This is was a great place to stay for my trip in Montreal. You have a great coffee 2 blocks from the apartment called Etincele. Really friendly place and great coffee and home made Madeleine. If you want to buy some cheap fruits and vegetables; go to the shop at corner of Papineau and Beaubien. You also have a great shop at Beaubien and La roche on the way to the metro. 
You will be able to enjoy the rooftop for sunbaking or a apero at the sunset.","10,0",4,1,10.0,0.0
"Steph & Camilla's apartment was clean, comfortable and perfectly located. The hosts were very communicative and helpful too. Highly recommended for anyone visiting Montreal!","9,0",4,1,10.0,-1.0
"O quarto é pequeno, porém bem organizado, limpo, e com tudo que é necessário para a estadia disponível. A cozinha e a lavanderia são bem equipadas. Boa localização, próximo e bem fácil de chegar até a estação do metrô.","9,0",0,0,7.0,2.0
Expérience incroyable. Nous avons passé un super week-end en famille. L'emplacement de l'endroit ne peut être mieux situé. Sébastien nous a accueillis comme si nous étions chez nous et à effectué un suivi tout au cours de la fds. Les lieux étaient propre et très confortable. Un gros merci à Sébastien pour son hospitalité.,"10,0",3,0,10.0,0.0
"Wow! Superbe appartement! Il est très bien situé et très propre. Richard est très accueillant et disponible. Il y avait 2 bières froide au frigo à notre arrivée, une très belle attention. 

Merci ","10,0",0,1,7.0,3.0
Clean and cozy apartment in a great part of the city ! Also adorable cat to keep you company. Had a lovely experience :),"10,0",4,1,10.0,0.0
would recommend!,"9,0",4,0,10.0,-1.0
"Yj's place was the perfect location for exploring Montreal. Great eats all around, conveniently located near the Metro.","9,0",3,1,10.0,-1.0
"The space was a little smaller than expected epically a space that advertises it can accommodate eight. 
.
 Since the bedrooms were so close to the common area / kitchen and or bathroom we all had to agree upon a time to sleep and wake so as not to disturb one another.  If eight guests sleep here they would probably be sleeping in the living room which is very close to the kitchen and bathroom and will surly wake anyone sleeping in it.
.
 There was a T.V. but it didn’t have any channels so it seemed a little redundant to have. 
.
All in all the space accommodated our needs that being to sleep, shower and eat but had we wanted to spend any time in the space, much more than we did we I would be on top of one another.  
.
 On a positive not the bed I slept in was VERY comfortable and did not move when shifted in my sleep so my partner was not disturbed. 
.
 Cafe's were very close by with great coffee.
.
Parking over the weekend was not a issue. Review parking for weekday stays.
. 
Check in was seamless.","9,0",1,1,10.0,-1.0
"We had a great stay at Daniel’s place! The location is perfect, and Daniel was great with communication when we requested a late check out.  Would recommend this place","9,0",3,1,10.0,-1.0
"It is a simple, no frills accommodation in a good location. Free easy parking is a plus, very close to public transportation. Fast wifi. Bathroom needs renovation and a few hooks to hang towels on. Kitchen is well equipped, did not find the cutting board though. I would say it is a decent accommodation for those who travel on budget by car. Do not expect local, home-like experience: its rent-only apartment and we never met the host. However, all our requests were met and response was fast and informative. Thank you Yj and Sebastien!","9,0",2,1,10.0,-1.0
"This apartment is in a nice location between two main areas. Zaki communicated well with us and had excellent food recommendations! However, the place was not as clean as we would have liked with leftover food in the cupboard and microwave, and unclean bedspread. Other than that we enjoyed everything available in the kitchen and the easy location.","9,0",3,1,10.0,-1.0
Super loft pour passer un séjour en amoureux!,"9,0",0,0,7.0,2.0
"My friend and I stayed at Yanick's place for four nights.  Yanick was very quick to respond to our questions, and very helpful overall.  He showed us where to find good parking, and checked in on us to make sure things were okay during the trip.  The place was even bigger than it looked in the pictures, and just the perfect size for our needs.  It was clean when we got there, and the bed had fresh sheets and there were towels for us to use.  One thing we wished for was sheets for the futon, since we were not sharing the bed.  There was also no space for us to unpack, because the bureau drawers were full.  Other than those two things, the place was great and not stuffy at all, though it was on the fourth floor.  It's also in a great location, very conveniently located near lots of good restaurants, the waterfront, and the bike path along the river.  We would definitely recommend this to anyone, it is WELL worth the price!","10,0",2,1,10.0,0.0
Thank you so much Marie-José! My Dad and I had a great night. The room was so nice and clean. Marie-José welcomed us when we arrived and showed us around the house. Will recommend this place and will come back again for sure. Merci,"10,0",0,1,7.0,3.0
"I had the pleasure of staying at Andrée’s place for a week and I highly recommend it. Andrée was such an excellent, attentive host. Once I arrived, she took the time to show her house and to provide tips on places and events. The kitchen is stocked with pots, pans, and dishes so I had everything I needed to cook my meals. She also made sure everything was fine during my stay. I needed an iron board and iron for a business meeting and she gladly made them available. I really enjoyed staying in a traditional French residential neighborhood with several options of groceries, restaurants, and shops. The apartment is well located, close to the blue line station Outremont that takes you downtown in thirty minutes. It is also relatively easy to come from/go to the airport (about $30 uber trip). The apartment has paid laundry (four loonies) in the building basement so it was a perk not to leave the building. Unfortunately, I came during the winter so the days were cloudy, snowy, and gray so I didn’t have the chance to see the greenery Montréal is famous for. The city wasn’t quiet, though. Montréal en Lumière was taking place on Avenue Sainte Catherine during the weekend so I was able to check a famous city festival. I’ll definitely be back in the summer.","10,0",3,1,10.0,0.0
"Amazing place, very helpful hosts. The apartment was extremely clean, and the location is perfect. The area is quiet and so are the neighbours. Would absolutely stay there again.","10,0",4,1,10.0,0.0
"The whole room is very neat, geographical location is very convenient, the landlord is super nice, especially enthusiastic.","10,0",3,0,10.0,0.0
"Alex and Kate are amazing hosts. Very flexible and arranging on arrival time (sorry again, we are still learning to travel with toddlers). The place is perfectly located, very close to the best restaurants in town and well equiped (coffee and towels are very pleasant). We highly recommend Alex and Kate's apartement for a weekend in Montreal.","9,0",4,1,10.0,-1.0
"This place is very well located, super clean and comfortable. It surpassed our expectations and we could enjoy Montreal!","9,0",4,1,10.0,-1.0
very great host.  fantastic cook as well,"10,0",4,1,10.0,0.0
"Fanny is great with communication and very helpful with everything- she goes the extra mile. Her place is awesome (backyard was really nice for a drink too!) And it's in a cool, hipster part of Montreal. Only thing I found tricky was the key and getting into the apartment but fortunately her friend let us in so there were no issues. I'd stay here again!","10,0",1,1,10.0,0.0
"Après une expérience ratée dans un logement d'étudiant délabré dans le ""ghetto McGill"", nous avons eu le plaisir de passer 2 nuits dans le charmant appartement de Sarah et Aristide sur le Plateau, un contraste total! L'endroit, à deux pas du square St-Louis et des rues St-Denis et St-Laurent, figure un quartier tranquille et charmant, où il fait bon vivre, où les enfants dépassent en nombre les autos... Les maisons ont toutes un charme certain, dans leur style urbain de début du XXe. L'appartement mis à disposition par Sarah et Aristide se trouve sous leur logement - de sorte qu'on peut résoudre immédiatement toute question avec eux - au rez-de-chaussée de leur maison. Tout y est charmant, des murs en brique au sol en parquet (et en pente!) au mobilier cosy et fonctionnel à la fois. On y loge aisément à 3 grâce au fauteuil convertible en lit dans le petit salon. Et l'appartement permet aussi d'y cuisiner et d'y manger. Un très bon choix !","10,0",2,0,10.0,0.0
"A quiet, clean space and very close to the metro!","10,0",3,1,10.0,0.0
"This apartment was perfect for our vacation in Montreal. Minutes away from food and entertainment. We were able to walk everywhere from here. The apartment was flawless, exactly what the pictures show. Barbara was an excellent host. She left all the information we needed on the table and was available to help us by phone and email when we had questions. I would definitely recommend this to anyone visiting the area!","10,0",4,1,10.0,0.0
My stay at Good Living’s was an absolute delight! The space was clean and comfortable (especially the bed and soft sheets) the outdoor space was cozy as well & would definitely stay here again! Thank you for your hospitality.,"9,0",4,1,10.0,-1.0
Walking to distance to Saint Catherine.  Where most of the restaurants and points of interest are. No balcony. So if your a smoker you will have to ride the elevator down to the front door a couple times a night.,"9,0",3,0,10.0,-1.0
I was really happy with the rental.  The apartment was clean and modern and looked just like the photos. The kitchen is fantastic and there is also a BBQ outside.  This would be a great rental for a couple that enjoy grabbing food from local market and preparing meals.  The apartment is located on a one way laneway that has little to zero traffic. The apartment is a 3-5 minute walk away from the gay village.  There is an amazing brunch place called Le Passe Compose that is mere steps away from the apartment that I would highly recommend guest checking out.,"10,0",4,1,10.0,0.0
The location was wonderful.    Better than what I expected.,"9,0",4,0,10.0,-1.0
"Es una linda habitación donde pudimos descansar agusto ya que nadie hacía ruido. La casa está muy cerca de una estación del metro lo cual facilita tu movilidad, además de tener una plaza como a una cuadra donde hay restaurantes económicos. En la descripción dice que hay un gato, pero realmente no es molesto, ya que nunca entró a nuestra habitación, lo vimos muy poco.","10,0",3,0,10.0,0.0
Lchraf's place was perfect for us and exactly as described! Good central location. Very clean. Nice porch. Fast internet. All in all great stay. Hope to come again!,"9,0",4,1,10.0,-1.0
"We had a wonderful stay at Doris Mel's apartment! The location was on a very cute street with lots of stores and restaurants nearby and the metro (orange line) was right around the corner, which leads you straight downtown to Old Montreal! The apartment was clean with plenty of natural light. It was a great fit for a girls weekend away!","9,0",3,1,10.0,-1.0
"Le logement est vraiment très bien placé. A 10 min à pied du métro Mont Royal. 
Shlo est une personne attentionnée et très réactive à toutes les interrogations ou les remarques que vous pourrez lui faire.","9,0",0,0,7.0,2.0
"Completely stress free travel! I cant sing enough praise for this rental. Everything was great: easy indoor parking, close proximity to attractions and walkable to nightlife; beautiful and spacious condo with a great modern vibe; great host- thanks, Claude!","10,0",3,1,10.0,0.0
,"9,0",0,0,7.0,2.0
"Nous avons séjourné une nuit chez Adelyna.  L'appartement est joli et plutôt chaleureux.  C'était propre et il nous a semblé qu'il y avait toutes les commodités nécessaires.  Nous avions réservé à moins de 24h d'avance mais tout était bien en ordre dans l'appart.  Nous n'avons pas rencontré Adelyna en personne mais elle nous avait laissé la clé à l'entrée avec un système doté d'un mot de passe qui fonctionnait tout à fait bien.  Point négatif à noter par contre, le bloc appartement comme tel est sale et délabré.  Il y avait entre autres des mégots de cigarettes par terre dans la cage d'escalier et on n'était pas rassurés à l'arrivée.  Mais une fois dans l'appartement c'était ok.  Merci Adelyna pour ton hospitalité!","10,0",2,0,10.0,0.0
Super airbnb!,"9,0",0,1,7.0,2.0
"The place was great very modern, super hip and clean. The location was perfect, very close to the train station, lots of restaurants and bars. Hamza as a host was very responsive to all of our questions and concerns. Would highly suggest staying here.","10,0",4,1,10.0,0.0
"Super endroit, très cosy, bien équipé et avec un charmant petit balcon arrière.
Bien situé dans le Plateau, beaucoup de commerces à proximité, beaucoup de bus pour se rendre au métro/centre-ville. 
Marie est très accueillante et réactive. Nous recommandons ce bnb à tout ce qui veulent découvrir Montreal et en même temps résider dans un endroit calme ! ","10,0",4,0,10.0,0.0
"Marcos and Mari's apartment was a great location! The parking was clutch.  The apartment was modern, clean and comfortable. Walking around Old Montreal was easy and convenient. We will definitely be back! ","9,0",3,1,10.0,-1.0
Geneva's apt was great to stay in for our Osheaga adventure!  We thoroughly enjoyed the two porches and the neighborhood was very fun to explore.,"9,0",4,1,10.0,-1.0
"Ben’s studio apartment was located in a great location.  We were there during the extreme heat and the air conditioner worked perfectly at keeping the space cold.  Parking was super easy as the space was a secured outside lot. (You could choose which space to park in). 
This is an apartment building.  The common areas (hallways, elevators, lobby) are not clean.  The shared laundry rooms, however, are super clean. 
Ben was quick to respond to any inquiries we had.  ","9,0",2,1,10.0,-1.0
Merci Jesus!,"9,0",0,0,7.0,2.0
"The perfect place in the perfect location of downtown Montreal.  The online pictures match the spacious loft apartment, and my room was ready with fresh sheets and bath towels.  The host left post-it notes with tips throughout the apartment - include an empty shelf in the refrigerator and kitchen cabinet for me to leave things.  There is no better location for jazz fest, and we walked everywhere from this very central location.","10,0",4,1,10.0,0.0
"Everything about the trip was perfect! Felix and Ivan were very helpful and answered all of the questions I asked.  Even if you do not know anything about the city, the hosts will guide you in the right direction.  Their place has a warm and artistic feel to it which is very inviting.  The location is fantastic as it is in a ""quiet"" part of town, but still has many restaurants and bars nearby.  Even if you do not know anything about the city, the hosts will guide you in the right direction.  Felix and Ivan made my first Airbnb experience a fantastic one and I am sure others will also be impressed.  ","10,0",4,0,10.0,0.0
"L’appartement de Meryem est comme la description, très propre et grand. Meryem est hyper disponible, répond rapidement à nos questions et très arrangeante pour les horaires d’arrivee, de départ ou dépôt des bagages.","10,0",2,1,10.0,0.0
"I am very pleased with the apartment. Very quiet and easy to find .. Great location in the center of Montreal near Mont Royal, spacious apartment with complete amenities and great communication as well. Highly recommended !Thank you Steph and Camilla !","9,0",4,1,10.0,-1.0
❤❤❤,"9,0",0,0,7.0,2.0
"Everything was very smooth, as accurate as the pictures. Antoine was available to answer questions before we arrive to Montreal. The apartment was comfortable, great location ( full of restaurants, shops, etc.) and had all items to make you feel like home, the free coffee was an extra touch","9,0",4,1,10.0,-1.0
clean and quiet.Great location,"10,0",3,1,10.0,0.0
Todo muy bien y excelente anfitrión,"10,0",0,0,7.0,3.0
Fanny was a great and kind host. She gave us tips to enjoy Montreal. Her place is very welcoming and the room is spacious. We would definitely come back at Fanny's place.,"10,0",4,1,10.0,0.0
Great place and great location!,"9,0",3,1,10.0,-1.0
Nice host!,"10,0",2,0,10.0,0.0
"It is a clean and comfortable place to live and the host reply the message very fast.
Especially the location is very convenient to travel most of the tourist spot. My family and I  had a good time staying there.","8,0",4,1,10.0,-2.0
"I would strongly recommend Maya's suite to any one whether you are by yourself, with friends, or family. It is very clean , supplies in abundance, WIFI is strong. The only thing I would suggest to Maya is to try to get in touch with client upon request. I did try even emailed her but vainly.


I had a great time. I felt like home.","8,0",4,1,10.0,-2.0
Irwin and Grace were kind and helpful. Room was perfect. Location is great (everything is at walking distance from the apt). Great choice for a journey in Montréal.,"9,0",4,1,10.0,-1.0
"exactly as expected, the location is fantastic","9,0",4,0,10.0,-1.0
"Luna and her husband are very hospitality and informative. I enjoy having tea and chatting with them. The location is very close to the Rosemount station, only 5 minutes walk. And they even invite me for the dinner, their traditional food are very tasty. I have a great time during the stay. It‘s a good place that I would like to stay again.","10,0",4,1,10.0,0.0
"This was the third time staying at Alfredo’s. Always wonderful. It was really cold out and the heating worked really well. All very clean and comfortable. Alfredo’s communication is swift, detailed and polite. He is friendly and welcoming. The area is nice, central but with a neighborhood feeling. I explored Atwater market this time and had a great time. Highly recommended. Overall everything was as expected, perfect. Would stay again? Yes! Thank you Alfredo","10,0",3,1,10.0,0.0
"I had a great stay! The place is very easy to find and super close, walking distance, to everything in the city. My room felt very cozy. The natural light from the big window was great and the heating worked very well. Communication with Shakil was excellent and he promptly helped with all the concerns I had. Would recommend!! :)","9,0",3,1,10.0,-1.0
Emeline was a great host. We didn't meet but everything worked well. Her place is in a perfect location for discovering Montreal.,"6,0",3,1,10.0,-4.0
"Nice place, very convenience, I think I will come to this place again.","10,0",0,0,7.0,3.0
"Grace and Irwin were great hosts! The apartment was in a super convenient area, plenty if shops and restaurants but also quiet at night. ","9,0",3,1,10.0,-1.0
"Loved this stylish loft. Old Montreal is the best location to be while in Montreal - shopping, restaurants and cafes. The extra details for guests are lovely and the hosts are very organised & respond quickly. Perfect stay.","9,0",4,1,10.0,-1.0
"Abe’s place is in an amazing location for public transit access, nice local meals and shops, and nightlife. The apartment was well equipped for a comfortable stay, but we didn’t spend much time at he airbnb. The rooms could be made quite dark for a good night’s rest. The apartment was very clean. I will definitely try to stay here again.","10,0",4,1,10.0,0.0
"My husband, 11 year old son and I had a great stay at Toby and her sister Libby's place. The apartment is as advertised--very sweet with two small balconies, a full service kitchen (including spices), and an air-conditioner, as some of the stand-outs (and the latter was very helpful in July). The thing is that you won't want to spend that much time there because the neighborhood is amazing--which was also accurately advertised. We walked or took the metro everywhere and never used our car (we lucked out and found a parking spot right after the street had been cleaned and all the other cars had to move). There are so many great restaurants, cafes and boutiques nearby, and also a sweet park right at the top of the street. We walked to Mont Royal (and then walked to the top for an amazing view), and walked to the Metro stop to get to downtown (for free concerts at the Jazz Festival), the old port, and the Jean Talon market. Also, Libby was very helpful and available via email (and if my phone worked, I assume text as well); has lots of maps and brochures in the apartment for you to look at and use; and her housecleaner, who met us and gave us the keys, was lovely and full of tips about the city. We can't wait to come back and explore more! ","10,0",4,1,10.0,0.0
"Adelyna est une hote très réactive qui répond à nos besoins. Nous avons rencontré un problème d’adaptateurs, en moins de deux jours Adelyna avait arrangé le problème. L’appartement est très bien situé et très propre, on s’y sent très bien. Je recommande entièrement cet appartement ! Merci encore Adelyna","10,0",0,0,7.0,3.0
"We had such a delightful time at Cedric and Yuu's place! The location is very close to the Metro station, bus stops, and nearby restaurants. Cedric was extremely helpful and thorough with recommendations which I appreciate so much from a local. I appreciate the flexibility with check out time because we had an evening flight. We had a blast overall and can't wait to visit Montréal again.","10,0",4,1,10.0,0.0
"There's nothing you won't like about the design and furniture of this place. Beautiful. It's like a 10 minute walk to the nearest metro station. Also around a 15 minute walk to St. Catherine which is a main spot for tourists. The building is very nice. Shereen was so sweet, I met with her when checking in and she was willing to help with everything I had, lovely lady!","10,0",4,1,10.0,0.0
"Great host. Prompt responses. Good communication. Nice touch with a cold beer in the fridge:-) Cutlery , dishes, glasses etc were all sparkling clean. Short walk to downtown. Would highly recommend.","10,0",3,1,10.0,0.0
"The location is nice, inside the old Montreal. It's a 9-minute walk from the nearest subway station on a hill street, which isn't easy when you're with luggage, so I suggest using a taxi, uber or something on arrival and departure.

The place is really good, with some food in the fridge. 

We had a really great time in there and I do recommend it.","10,0",4,1,10.0,0.0
"The location was great and everything was just as described--if not better. Raphael was a great communicator as well and very helpful in making adjustments. I strongly recommend his place for the location, value and great host!","10,0",4,1,10.0,0.0
"Tessa and Trevor were great, always present if needed! The room is exactly as described, superclean and the house is amazing. Sadly my stay was just one night, but i warmly suggest this stay. Navy, the cat, was also super cute!!","10,0",4,0,10.0,0.0
"Awesome location, close to everything. Even by foot. Nice apartment with a huge TV. Would definitely recommend this!!!","10,0",4,0,10.0,0.0
"Es un bonito lugar para quedarse, cerca de muchos lugares de interés, los anfitriones son muy amables y siempre dispuestos a ayudar.","10,0",0,0,7.0,3.0
Lana's place was clean and as advertised. She is responsive and helpful.,"10,0",4,1,10.0,0.0
Wonderful host who is quick to help with everything.  Great location near McGill - quiet and enjoyable.,"8,0",4,1,10.0,-2.0
"My stay with Daniel was wonderful.  The place is in the perfect location, is clean, and beautiful.  I have stayed with Daniel twice now and both times I had the feeling that I was staying at a friends house.  

If you are looking for a place to stay look no more.  Daniel's place makes you feel at home away from home. My best reviews for the place and for Daniel. ","10,0",4,1,10.0,0.0
Amazing location and awesome space for a large group of people!,"10,0",4,0,10.0,0.0
I had a good stay at Patrick's apartment.  He was very responsive to messages and he was friendly and helpful in providing directions. His dog is quite sweet and quiet. The apartment is walking distance from the subway and bus lines.  The room was as pictured in the listing.,"9,0",3,1,10.0,-1.0
"Sarah’s house is in a perfect location; the bus from the airport drops you 3 minutes walking from the house, you have 2 different subway stations to choose from within 7 minutes walking from the house and it’s a nice, short walk to get downtown!
Although we never met Sarah, she answered right away to all of our questions, both house-related and not, such as where we could find supermarkets late t night!
The flat is very spacious and provided with everything you might need both for short-term and long-term stays: plenty of towels, soap, shampoos and conditioners, pans and pots, coffee maker, hair dryer...
We absolutely loved the house and it helped us enjoy our 5-day stay once Montreal even more!","10,0",4,1,10.0,0.0
"Winnita’s place has a vintage charm. The decor is thoughtfully and tastefully planned. 

It is easily able to hold a party of 5. 

We enjoyed our stay and appreciated the free parking and food suggestions given by the host.","10,0",3,1,10.0,0.0
"Great loft truly in the heart of old Montreal. Easy access to restaurants, bars, art galleries, souvenir shops, etc. Perfect location for tourists. The place was spotless and the owner is very accommodating. Really good value for the price. ","10,0",3,1,10.0,0.0
"Had a great stay. The place is simple and quiet, but close to metro, an easy walk to shops and restaurants and the fun mile end area. Best way to get around is on bixi's though! The apartment was very clean and had almost everything we would have needed. I arrived very late at night and alone, but was made to feel very safe and comfortable by the hosts. They were adamant that if I needed anything, they were there to help. I would definitely stay again.","9,0",3,1,10.0,-1.0
"Host is very attentive. The place was perfect for our trip. The description is accurate, as are the pictures. ","10,0",4,1,10.0,0.0
"Fantastic location in a cozy & secure space. Compact studio unit has everything you need, recommended for solo traveler or couple. Photos are accurate & although in an older building, the actual studio apt has everything renovated and as of Dec 2018 appears brand new. Super clean too!","9,0",4,1,10.0,-1.0
"Overall this is a great place to stay! The hardest part was trying to figure out where to park. It's easier to find a spot on the weekends, but I don't know where we would have parked if it was a weekday. Once we were settled though, my husband and I loved the apartment! We were able to cook there and it was a good size for 2 people. There is a big park right across the street that was nice to walk in and if you want to, you could walk to downtown and save the hassle of driving. Rafael was also a great host and was very quick about responding to questions we had! He also left some snacks out for us and made staying there easy. I would highly recommend if you're looking for an affordable place to spend the night and tour the city during the day.","10,0",4,1,10.0,0.0
Merci beaucoup,"10,0",0,0,7.0,3.0
"Just one word: Awesome! 
Best I did until now!","9,0",4,0,10.0,-1.0
Great apartment- great host!,"10,0",3,1,10.0,0.0
"Appt spacieux conforme à la description, excepte la salle d'eau qui n'est pas très grande mais cela suffit.On trouve tout ce qu'il faut dans la cuisine. Commerce a 5 mn a pieds. Tres bien situé Bus au pied de l'Appart ou métro à 15 min à pieds . Philippe était absent à notre arrivée mais avait tout organisé . Il est venu nous voir quand il est revenu. Très sympa . Nous y avons passé  un agréable séjour.","9,0",2,0,10.0,-1.0
"Perfect cozy space in Old Montreal! Yanick is a great host and the apartment is clean, spacious, and very cute! Could not have imagined a better place for my stay in Montreal!","10,0",4,1,10.0,0.0
Absolutely wonderful place and great location. Would stay here every time,"8,0",4,1,10.0,-2.0
Très grande chambre dans un loft immense. A deux pas du Palais des congrès et du complexe Desjardins!,"10,0",0,0,7.0,3.0
"Guys I would highly suggest this place if you are looking for accessible Neighbourhood, host is always there for you and she knows what she is doing.","10,0",4,1,10.0,0.0
"Laurence has a great place. We had a Excellent stay, She made us feel very welcome and it is a great location.","10,0",4,1,10.0,0.0
"Superbe appartement dans un très beau quartier.
Propreté irréprochable et literie exceptionnelle !
On s'y sent comme ""à La maison ""","9,0",2,0,10.0,-1.0
"I stayed only one short night at Jose's place and everything is simply perfect, the warm welcome from Jose who makes you feel at home, the room is spacious and very clean with all the amenities, the bed is big and let you sleep like a baby. I highly recommend this place :-)","10,0",4,1,10.0,0.0
"Everything is exactly as described/pictured and Sarah and Aristide were very communicative and prompt with messages. The bed is super comfy and the kitchen/bathroom had everything we needed. Perfect location too: a charming, quiet street with lots of cool bars and restaurants nearby. A+ !","10,0",3,1,10.0,0.0
"This space was right amongst downtown Montreal and was amazing value for money! Nice big bright room with a comfy bed. Great for a trip where you need to get some work done too.

Everyone was friendly and gave me tips on the area. Will pass back through.","9,0",4,1,10.0,-1.0
Veronique étais très gentille ! Elle nous a laissé l'appartement pour nous comme elle partais pour le weekend :) super appartement,"10,0",0,0,7.0,3.0
Christopher's place was so cozy! It was perfect for a long weekend away - great location and easy walking distance to various attractions.,"10,0",4,1,10.0,0.0
"Excellente experience dans cet appartement, très propre et bien équipé. Nous avons passé deux excellente nuit et il a été très facile de s'arranger pour emménager. Proche du métro et de commodités, c'est l'endroit idéal pour un court ou long séjour.","10,0",0,0,7.0,3.0
"À mon arrivée, Catherine, la coloc de Jonathan travaillait, elle  m'a laissé des indications pour avoir accès rapidement à la chambre. L'Appartment est chaleureux et la terrasses sur le toît est tout simplement géniale. Il y avait des petites bouteilles de savon et shampoing sur les serviettes laissé à disposition. Ce qui a été très appréciées. Catherine est très accueillante et facile d'Accès.  Si vous chercherz un coin mignon et âs trop bruyant de Montréal, petite-Patrie est parfait pour vous. La seule chose qui pour moi serait a améliorer est la poussière sur le plancher dela chambre et la cuisine. Somme toute, l'expérience générale est positive.","10,0",2,0,10.0,0.0
"Great location.
Clean and thoughtful host/place.
Prepare yourself with Montreal stairs","10,0",3,1,10.0,0.0
"I had a month-long stay at Maureen's in June/July 2010. She made sure I had directions to get in well, took me to the grocery store to make sure I knew where it was, and was generally a friendly, happy host. One thing not mentioned in the listing is that this is a triplex - Maureen lives on the first floor, I stayed in one of the four bedrooms on the third floor, and she was remodeling the second floor to create four more bedrooms. Guests have great privacy if they want it.

I have to mention that there were ants in the kitchen - Maureen knows and is working to eradicate them, but anyone who's really bothered by bugs might be put off.

I had a great time here. The place was just as described, the neighborhood was calm and safe, and Montreal was lovely. Thanks for having me.","9,0",1,1,10.0,-1.0
"L’appartement est conforme.
Les indications pour entrer correctes.
L’immeuble et la rue étaient en travaux
Tyler est attentionné même si nous ne l’avons pas rencontré. Il a été réactif suite à un petit problème rencontré et à facilité le gardiennage de nos bagages.
Bien placé pour accéder aux endroits intéressants et aux transports en communs.
Je recommande.","9,0",4,0,10.0,-1.0
"1. 위치
- 디자이너샵(소품, 의류). 빈티지샵 들이 주변에 있어 구경하기 좋음
- 분위기 좋은 커피숍들이 있음
- 유명맛집들이 가까움 (베이글.샌드위치.라멘 등)
- 몽로얄과 장딸롱마켓이 가까움
- 대중교통으로 어디든지 쉽게 갈 수 있음
- 조용하고 깨끗한 동네

2. 숙소
- 방이 엄청 넓고 깨끗함
- 모던하고 예쁜 인테리어. 
- 3마리의 귀여운 고양이
- 작은 뒷마당 있음

3. 편의시설
- 수건 제공
- 세탁기 사용 가능
- 부엌. 냉장고 사용 가능

4. 결론
엄청 친근한 호스트 덕에 잘 쉬다 감. 
집이 무지 예뻐서 그냥 보기만 해도 기분 좋아짐. 
여름-가을에 가면 몽로얄도 가깝고, 뒷마당도 있어서 더 좋을 것 같음. 
다운타운에서 가깝진 않지만, 몬트리올은 작고 대중교통이 잘 되어 있어서 이동이 불편하지 않음. 오히려 동네가 조용하고 근처에 쉴 수 있는 카페가 많아서 좋았음. 
추천해요!!!!","10,0",0,0,7.0,3.0
"Extremely clean and tidy place with warmth of thoughtful touch in every corner. The hosts are very helpful with any need of ours with their welcoming packet. 
The property itself has one of the quietest room I've ever slept in. However there are several fantastic music venues/nightclubs, cafes and restaurants within 5-minue walk. 
Highly highly recommend!","10,0",4,1,10.0,0.0
"Merci à Sandra et Gustavo pour leur gentillesse, leur réceptivité et leur accueil.
Logement très bien situé et il est agréable d'y séjourner.","10,0",0,0,7.0,3.0
